"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000240671",19.1846412726036,-20.7415157250867,2.27380862286709,-9.12192676045588,7.3800397113963e-20,2.22914099482725e-15,"ENSG00000240671","IGKV1-8"
"ENSG00000211950",74.0004865966191,-20.615021881362,2.38755398551231,-8.63436890074701,5.90521421242444e-18,8.91834976431401e-14,"ENSG00000211950","IGHV1-24"
"ENSG00000218819",163.4731904609,-24.4694244714312,3.10252424519687,-7.88694061273274,3.0968468832876e-15,3.1180086703234e-11,"ENSG00000218819","TDRD15"
"ENSG00000211914",31.7500638431359,-21.730665570468,3.03107387313662,-7.16929592612689,7.5384448773463e-13,5.69246818800613e-09,"ENSG00000211914","IGHD6-19"
"ENSG00000233005",60.9701188341477,-23.1524397828346,3.37335779820355,-6.86332170135175,6.72774826462332e-12,4.06423272665895e-08,"ENSG00000233005",""
"ENSG00000211917",42.5983433353915,-21.1016051671021,3.08860563978355,-6.83208140764156,8.36913307764939e-12,4.21316107684e-08,"ENSG00000211917","IGHD3-16"
"ENSG00000211911",13.7036231971836,-18.8855700392954,2.79861200783013,-6.74819159871257,1.496991858079e-11,6.4595198676109e-08,"ENSG00000211911","IGHD3-22"
"ENSG00000211912",16.4957656068807,-17.956662891251,2.82501317644991,-6.35631119916279,2.06656159481145e-10,7.80256162140997e-07,"ENSG00000211912","IGHD2-21"
"ENSG00000262902",19.9947743409498,2.47430204624702,0.442481013730716,5.59188297230042,2.24620202925113e-08,7.53850358817003e-05,"ENSG00000262902","MTCO1P40"
"ENSG00000211662",10082.0794834301,-11.0406162890699,2.13931321057314,-5.16082275120065,2.45866884984687e-07,0.000742640926096246,"ENSG00000211662","IGLV3-21"
"ENSG00000147872",2575.55249385461,-2.06703133431941,0.405113844368902,-5.10234681695336,3.35467254652007e-07,0.000921162584251262,"ENSG00000147872","PLIN2"
"ENSG00000213305",2.98121276731202,3.19399182314963,0.638217997007466,5.00454678201791,5.59936128924073e-07,0.00140940589784597,"ENSG00000213305","HNRNPCP6"
"ENSG00000211663",320.271612693566,-7.24034680093449,1.4553225068964,-4.9750806207039,6.5220489924812e-07,0.00151537299859919,"ENSG00000211663","IGLV3-19"
"ENSG00000211670",256.75493812617,-8.8815227542073,1.83990186510954,-4.82717199358812,1.3848551458057e-06,0.00298782497707581,"ENSG00000211670","IGLV3-9"
"ENSG00000138678",72.8641039617533,-4.87240505923202,1.06336846781949,-4.5820477159937,4.60444793296873e-06,0.00869233436345754,"ENSG00000138678","GPAT3"
"ENSG00000188536",723.088742895362,-9.16041078455443,2.07398163939351,-4.41682347160661,1.00161964718807e-05,0.0177964243784209,"ENSG00000188536","HBA2"
"ENSG00000204291",16.8269775923164,6.80775456203047,1.58814322241245,4.2866124830286,1.81418360498739e-05,0.028840745151918,"ENSG00000204291","COL15A1"
"ENSG00000154229",492.754788308804,-4.17929330841703,1.00109981314744,-4.17470191636278,2.98376477583089e-05,0.0409657341154419,"ENSG00000154229","PRKCA"
"ENSG00000144290",250.495826285256,-5.72161500101006,1.39444819410638,-4.10313916658389,4.07581913213487e-05,0.0533707392073609,"ENSG00000144290","SLC4A10"
"ENSG00000187634",15.2651124885388,2.76616321140772,0.675932502980523,4.09236602650461,4.26993947909594e-05,0.0533707392073609,"ENSG00000187634","SAMD11"
"ENSG00000162711",140.680731339566,-3.63373808344186,0.889643073994343,-4.08448982480919,4.41737619660328e-05,0.0533707392073609,"ENSG00000162711","NLRP3"
"ENSG00000151090",112.798047493618,-5.23868763852804,1.2937548521354,-4.04921197387693,5.13903822187039e-05,0.0597017882659982,"ENSG00000151090","THRB"
"ENSG00000203812",6.23548012572179,3.28384885383265,0.818700998449886,4.01104781849567,6.04498640678133e-05,0.0663041605820052,"ENSG00000203812","HIST2H2AA3"
"ENSG00000184545",2269.64747048879,-2.84356237689946,0.709627621446693,-4.00711907338442,6.14638800296688e-05,0.0663041605820052,"ENSG00000184545","DUSP8"
"ENSG00000205609",30.3328210987556,2.11230213295884,0.535623197962445,3.94363451955444,8.02559396438523e-05,0.0782242898672187,"ENSG00000205609","EIF3CL"
"ENSG00000178458",26.1346405411366,2.55066810194779,0.656211574207005,3.88695994128132,0.000101507497495309,0.0929101200559333,"ENSG00000178458","H3F3AP6"
"ENSG00000105967",3294.93626015259,-6.27555007853096,1.62160659733999,-3.86995840349016,0.000108853924443043,0.0930321655981578,"ENSG00000105967","TFEC"
"ENSG00000123689",193.161299844956,-4.1656828601048,1.07891623792577,-3.86098819692746,0.000112929359303451,0.0930321655981578,"ENSG00000123689","G0S2"
"ENSG00000088899",1633.68356304274,-1.9928221016511,0.516440242187783,-3.85876610468805,0.000113960937829228,0.0930321655981578,"ENSG00000088899","LZTS3"
"ENSG00000215817",15.6891580492239,1.76980576505758,0.462150569073466,3.82950034791853,0.000128403701681606,0.0994470207511006,"ENSG00000215817","ZC3H11B"
