sample inputreads readlength mappedlength uniqreads unipercent multiloci multipercent toomany unmappedMismapped unmappedshort unmappedother
H005-Y0AO 158372991 290 287.87 148494814 93.76 5250265 3.32 0.04 0.00 2.79 0.09
H005-Y67L 107326927 200 199.86 102121238 95.15 3718929 3.47 0.06 0.00 1.27 0.06
H005-YB12 99550097 200 199.83 92402312 92.82 5046846 5.07 0.06 0.00 2.01 0.04
H005-YCP26L 110904017 294 291.95 104325822 94.07 3116089 2.81 0.04 0.00 3.00 0.08
H005-YNIY 106016882 200 199.66 99752293 94.09 4528277 4.27 0.03 0.00 1.58 0.02
H005-YQWY 90417232 200 199.39 85211975 94.24 3503211 3.87 0.07 0.00 1.76 0.05
H005-YTYV 79373168 200 199.19 74933824 94.41 2740647 3.45 0.05 0.00 2.05 0.04
H005-YV7I 87816774 200 199.19 82258525 93.67 3865911 4.40 0.05 0.00 1.83 0.05
H005-Z0HX 111087895 200 199.50 104252602 93.85 4380630 3.94 0.06 0.00 2.09 0.06
H005-Z25CJJ 124931366 246 244.91 117051791 93.69 4175046 3.34 0.06 0.00 2.81 0.09
H005-ZCLY 95979641 200 199.58 90988378 94.80 3120688 3.25 0.05 0.00 1.86 0.04
H005-ZF32 65636358 200 199.44 61480393 93.67 2472049 3.77 0.06 0.00 2.46 0.05
H005-ZGBD 107606290 246 244.69 98126915 91.19 4729482 4.40 0.05 0.00 4.32 0.05
H005-ZRWN 86888936 200 199.63 81924078 94.29 3306293 3.81 0.05 0.00 1.81 0.05
